FLIGHT_DATE,FLIGHT_TIME,TIME_OF_DAY,AIRLINE_CD,FLIGHT_NO,DEPARTURE_STATION_CD,ARRIVAL_STATION_CD,ARRIVAL_COUNTRY,ARRIVAL_REGION,HAUL,AIRCRAFT_TYPE,FIRST_CLASS_SEATS,BUSINESS_CLASS_SEATS,ECONOMY_SEATS,TIER1_ELIGIBLE_PAX,TIER2_ELIGIBLE_PAX,TIER3_ELIGIBLE_PAX
9/22/2025,10:34,Morning,BA,BA6823,LHR,MUC,Germany,Europe,SHORT,A320,0,10,170,4,0,3
4/28/2025,11:05,Morning,BA,BA6904,LHR,MUC,Germany,Europe,SHORT,A320,0,19,161,0,15,51
6/18/2025,9:57,Morning,BA,BA4690,LHR,DXB,UAE,Middle East,LONG,B777,8,49,178,0,0,4
9/17/2025,12:57,Lunchtime,BA,BA7850,LHR,FRA,Germany,Europe,SHORT,A320,0,1,179,1,13,46
9/18/2025,18:29,Evening,BA,BA6815,LHR,VIE,Austria,Europe,SHORT,A320,0,18,162,0,14,48
7/27/2025,21:08,Evening,BA,BA5890,LHR,BCN,Spain,Europe,SHORT,A320,0,16,164,0,2,13
4/30/2025,10:40,Morning,BA,BA8945,LHR,MUC,Germany,Europe,SHORT,A320,0,10,170,0,6,24
5/24/2025,17:28,Afternoon,BA,BA6658,LHR,BCN,Spain,Europe,SHORT,A320,0,15,165,2,2,13
10/14/2025,9:18,Morning,BA,BA4811,LHR,BCN,Spain,Europe,SHORT,A320,0,16,164,0,7,27
6/10/2025,18:54,Evening,BA,BA4873,LHR,LAX,USA,North America,LONG,B777,8,49,178,0,6,25
7/21/2025,17:58,Afternoon,BA,BA2253,LHR,BCN,Spain,Europe,SHORT,A320,0,17,163,0,12,42
6/15/2025,22:38,Evening,BA,BA7949,LHR,MAD,Spain,Europe,SHORT,A320,0,17,163,0,15,51
7/1/2025,21:20,Evening,BA,BA9570,LHR,IST,Turkey,Europe,SHORT,A320,0,10,170,0,15,52
6/3/2025,18:00,Evening,BA,BA5292,LHR,DFW,USA,North America,LONG,B777,0,32,304,0,5,22
4/12/2025,7:42,Morning,BA,BA5495,LHR,DXB,UAE,Middle East,LONG,B777,8,49,178,0,7,27
8/2/2025,22:23,Evening,BA,BA6909,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,19,161,0,0,4
8/3/2025,17:56,Afternoon,BA,BA7174,LHR,DFW,USA,North America,LONG,B787,0,31,173,0,3,18
9/26/2025,13:48,Lunchtime,BA,BA4202,LHR,FRA,Germany,Europe,SHORT,A320,0,17,163,0,13,45
10/8/2025,11:25,Morning,BA,BA9458,LHR,VIE,Austria,Europe,SHORT,A320,0,6,174,1,17,56
7/2/2025,19:33,Evening,BA,BA4610,LHR,JFK,USA,North America,LONG,A380,14,97,358,0,1,11
10/29/2025,6:42,Morning,BA,BA3243,LHR,CDG,France,Europe,SHORT,A320,0,2,178,0,5,21
4/22/2025,17:06,Afternoon,BA,BA1482,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,3,177,1,8,30
7/14/2025,16:06,Afternoon,BA,BA4252,LHR,CDG,France,Europe,SHORT,A320,0,18,162,1,9,35
9/25/2025,8:51,Morning,BA,BA6510,LHR,LAX,USA,North America,LONG,B777,0,32,300,0,3,18
6/9/2025,10:29,Morning,BA,BA5563,LHR,CDG,France,Europe,SHORT,A320,0,13,167,0,10,37
6/19/2025,21:14,Evening,BA,BA6685,LHR,ORD,USA,North America,LONG,B787,0,35,179,0,5,23
4/7/2025,22:53,Evening,BA,BA5888,LHR,IST,Turkey,Europe,SHORT,A320,0,16,164,0,8,30
6/13/2025,16:35,Afternoon,BA,BA2809,LHR,MAD,Spain,Europe,SHORT,A320,0,6,174,1,11,39
6/20/2025,12:39,Lunchtime,BA,BA4883,LHR,JFK,USA,North America,LONG,B777,0,32,300,0,8,30
6/23/2025,14:18,Afternoon,BA,BA1726,LHR,HND,Japan,Asia,LONG,B777,8,49,178,1,5,23
8/20/2025,21:16,Evening,BA,BA8392,LHR,JFK,USA,North America,LONG,B787,8,42,166,0,7,29
4/24/2025,15:17,Afternoon,BA,BA4789,LHR,IST,Turkey,Europe,SHORT,A320,0,20,160,0,7,29
6/26/2025,21:41,Evening,BA,BA5963,LHR,ORD,USA,North America,LONG,B777,0,48,224,1,6,25
4/13/2025,15:29,Afternoon,BA,BA7067,LHR,MAD,Spain,Europe,SHORT,A320,0,17,163,0,6,26
5/20/2025,17:47,Afternoon,BA,BA6330,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,15,165,0,17,55
4/6/2025,7:42,Morning,BA,BA4511,LHR,FRA,Germany,Europe,SHORT,A320,0,17,163,4,11,39
8/3/2025,22:56,Evening,BA,BA2239,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,7,173,2,6,26
5/25/2025,7:15,Morning,BA,BA6321,LHR,IST,Turkey,Europe,SHORT,A320,0,9,171,1,12,41
7/2/2025,11:39,Morning,BA,BA9085,LHR,DFW,USA,North America,LONG,A350,0,56,275,0,6,25
7/20/2025,9:14,Morning,BA,BA6632,LHR,DXB,UAE,Middle East,LONG,A350,0,56,275,0,14,49
9/16/2025,22:42,Evening,BA,BA9717,LHR,BCN,Spain,Europe,SHORT,A320,0,10,170,2,10,36
4/7/2025,15:20,Afternoon,BA,BA7299,LHR,AMS,Netherlands,Europe,SHORT,A320,0,15,165,0,7,29
4/3/2025,6:29,Morning,BA,BA4215,LHR,JFK,USA,North America,LONG,B787,8,42,166,1,10,37
4/14/2025,10:10,Morning,BA,BA9096,LHR,HND,Japan,Asia,LONG,B787,0,31,173,0,0,6
5/6/2025,12:03,Lunchtime,BA,BA2032,LHR,DFW,USA,North America,LONG,B777,0,32,304,0,2,13
9/2/2025,10:00,Morning,BA,BA8435,LHR,ORD,USA,North America,LONG,A350,0,56,275,4,1,12
7/26/2025,15:40,Afternoon,BA,BA8848,LHR,MUC,Germany,Europe,SHORT,A320,0,11,169,0,9,33
6/25/2025,21:22,Evening,BA,BA1287,LHR,FRA,Germany,Europe,SHORT,A320,0,0,180,0,17,57
10/11/2025,15:07,Afternoon,BA,BA3266,LHR,MUC,Germany,Europe,SHORT,A320,0,6,174,0,20,65
7/4/2025,8:41,Morning,BA,BA2841,LHR,MUC,Germany,Europe,SHORT,A320,0,6,174,0,11,40
9/13/2025,16:15,Afternoon,BA,BA1810,LHR,VIE,Austria,Europe,SHORT,A320,0,16,164,0,11,38
8/15/2025,10:37,Morning,BA,BA8579,LHR,CDG,France,Europe,SHORT,A320,0,3,177,0,0,2
5/2/2025,10:04,Morning,BA,BA2058,LHR,MAD,Spain,Europe,SHORT,A320,0,11,169,0,5,22
9/16/2025,10:44,Morning,BA,BA1884,LHR,MAD,Spain,Europe,SHORT,A320,0,15,165,1,3,18
9/20/2025,19:58,Evening,BA,BA5155,LHR,BCN,Spain,Europe,SHORT,A320,0,20,160,0,4,21
7/11/2025,16:42,Afternoon,BA,BA9056,LHR,BCN,Spain,Europe,SHORT,A320,0,7,173,4,7,28
10/28/2025,6:57,Morning,BA,BA5462,LHR,MAD,Spain,Europe,SHORT,A320,0,19,161,0,5,23
9/2/2025,20:49,Evening,BA,BA8541,LHR,MAD,Spain,Europe,SHORT,A320,0,5,175,0,0,0
9/17/2025,21:49,Evening,BA,BA9380,LHR,MUC,Germany,Europe,SHORT,A320,0,1,179,0,12,42
10/12/2025,21:13,Evening,BA,BA3050,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,17,163,1,2,14
5/25/2025,19:14,Evening,BA,BA8543,LHR,MUC,Germany,Europe,SHORT,A320,0,6,174,5,9,34
6/15/2025,11:17,Morning,BA,BA6655,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,8,172,1,19,63
8/18/2025,16:54,Afternoon,BA,BA9006,LHR,CDG,France,Europe,SHORT,A320,0,13,167,0,3,16
10/1/2025,6:09,Morning,BA,BA1313,LHR,HND,Japan,Asia,LONG,B777,0,32,300,0,0,0
4/9/2025,13:50,Lunchtime,BA,BA2981,LHR,HND,Japan,Asia,LONG,B787,8,42,166,1,6,26
8/9/2025,13:34,Lunchtime,BA,BA8527,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,20,160,2,14,47
9/1/2025,18:27,Evening,BA,BA8789,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,14,166,4,18,61
7/2/2025,19:21,Evening,BA,BA5551,LHR,CDG,France,Europe,SHORT,A320,0,20,160,0,1,11
5/23/2025,14:16,Afternoon,BA,BA3499,LHR,DXB,UAE,Middle East,LONG,B787,8,42,166,4,10,38
8/2/2025,17:39,Afternoon,BA,BA7794,LHR,AMS,Netherlands,Europe,SHORT,A320,0,11,169,0,5,23
10/10/2025,13:07,Lunchtime,BA,BA8783,LHR,CDG,France,Europe,SHORT,A320,0,14,166,0,7,29
4/6/2025,6:34,Morning,BA,BA8080,LHR,BCN,Spain,Europe,SHORT,A320,0,3,177,0,22,72
6/17/2025,18:29,Evening,BA,BA5067,LHR,HND,Japan,Asia,LONG,B787,0,31,173,0,0,7
5/11/2025,15:32,Afternoon,BA,BA2885,LHR,ORD,USA,North America,LONG,B777,0,48,224,1,9,34
6/15/2025,18:00,Evening,BA,BA6472,LHR,BCN,Spain,Europe,SHORT,A320,0,7,173,1,10,38
8/23/2025,12:02,Lunchtime,BA,BA6938,LHR,FRA,Germany,Europe,SHORT,A320,0,1,179,1,14,47
9/2/2025,20:34,Evening,BA,BA7288,LHR,DXB,UAE,Middle East,LONG,B777,0,32,300,0,8,32
6/12/2025,16:36,Afternoon,BA,BA4420,LHR,CDG,France,Europe,SHORT,A320,0,18,162,0,9,35
7/30/2025,17:00,Afternoon,BA,BA5155,LHR,VIE,Austria,Europe,SHORT,A320,0,17,163,1,6,24
5/24/2025,17:39,Afternoon,BA,BA7946,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,7,173,0,9,34
7/21/2025,9:57,Morning,BA,BA5679,LHR,DFW,USA,North America,LONG,B787,0,31,173,1,6,25
5/11/2025,9:28,Morning,BA,BA7366,LHR,JFK,USA,North America,LONG,B777,0,48,224,1,11,40
7/11/2025,6:28,Morning,BA,BA3045,LHR,MAD,Spain,Europe,SHORT,A320,0,8,172,1,6,25
6/1/2025,21:41,Evening,BA,BA9717,LHR,MUC,Germany,Europe,SHORT,A320,0,0,180,0,10,36
4/5/2025,13:07,Lunchtime,BA,BA9698,LHR,DXB,UAE,Middle East,LONG,B777,0,32,300,2,8,30
10/14/2025,8:37,Morning,BA,BA4330,LHR,MAD,Spain,Europe,SHORT,A320,0,11,169,0,14,48
9/17/2025,22:51,Evening,BA,BA4461,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,10,170,0,7,29
7/9/2025,20:38,Evening,BA,BA8796,LHR,HND,Japan,Asia,LONG,B787,0,31,173,1,0,3
5/3/2025,18:44,Evening,BA,BA2418,LHR,DFW,USA,North America,LONG,B777,0,32,304,0,15,50
8/17/2025,14:10,Afternoon,BA,BA1276,LHR,HND,Japan,Asia,LONG,B777,0,32,304,2,3,16
4/27/2025,17:12,Afternoon,BA,BA5971,LHR,BCN,Spain,Europe,SHORT,A320,0,18,162,0,4,20
8/5/2025,13:19,Lunchtime,BA,BA2053,LHR,MAD,Spain,Europe,SHORT,A320,0,14,166,0,5,21
4/12/2025,12:22,Lunchtime,BA,BA9826,LHR,FRA,Germany,Europe,SHORT,A320,0,13,167,2,15,52
7/5/2025,22:55,Evening,BA,BA5380,LHR,DXB,UAE,Middle East,LONG,A380,14,97,358,0,0,0
6/14/2025,9:11,Morning,BA,BA6899,LHR,FRA,Germany,Europe,SHORT,A320,0,19,161,0,25,79
10/10/2025,19:29,Evening,BA,BA4873,LHR,LAX,USA,North America,LONG,B787,0,35,179,0,14,47
7/30/2025,11:55,Morning,BA,BA9056,LHR,CDG,France,Europe,SHORT,A320,0,11,169,0,9,34
6/16/2025,16:43,Afternoon,BA,BA2755,LHR,MUC,Germany,Europe,SHORT,A320,0,2,178,1,7,29
8/9/2025,6:37,Morning,BA,BA2118,LHR,MUC,Germany,Europe,SHORT,A320,0,15,165,0,9,35
5/8/2025,20:09,Evening,BA,BA4291,LHR,IST,Turkey,Europe,SHORT,A320,0,3,177,2,11,38
4/6/2025,22:50,Evening,BA,BA7346,LHR,JFK,USA,North America,LONG,B787,0,35,179,1,11,40
4/17/2025,19:40,Evening,BA,BA2488,LHR,FRA,Germany,Europe,SHORT,A320,0,4,176,0,11,39
7/6/2025,13:33,Lunchtime,BA,BA1218,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,19,161,1,8,32
8/16/2025,14:47,Afternoon,BA,BA9174,LHR,DFW,USA,North America,LONG,B777,0,32,300,0,7,27
8/25/2025,22:30,Evening,BA,BA6738,LHR,MUC,Germany,Europe,SHORT,A320,0,0,180,0,7,28
10/13/2025,18:35,Evening,BA,BA8025,LHR,BCN,Spain,Europe,SHORT,A320,0,5,175,0,7,27
8/22/2025,21:01,Evening,BA,BA6776,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,7,173,0,14,48
10/29/2025,17:45,Afternoon,BA,BA5867,LHR,FRA,Germany,Europe,SHORT,A320,0,7,173,1,11,40
5/12/2025,17:09,Afternoon,BA,BA2735,LHR,AMS,Netherlands,Europe,SHORT,A320,0,2,178,1,0,0
5/18/2025,15:57,Afternoon,BA,BA4079,LHR,MAD,Spain,Europe,SHORT,A320,0,19,161,0,11,41
4/14/2025,18:01,Evening,BA,BA4468,LHR,FRA,Germany,Europe,SHORT,A320,0,3,177,1,9,33
6/7/2025,9:45,Morning,BA,BA1470,LHR,LAX,USA,North America,LONG,B787,0,31,173,1,8,30
5/23/2025,12:02,Lunchtime,BA,BA3799,LHR,DXB,UAE,Middle East,LONG,B777,8,49,178,0,6,24
8/16/2025,13:54,Lunchtime,BA,BA6626,LHR,LAX,USA,North America,LONG,B777,8,49,178,1,14,48
8/19/2025,22:36,Evening,BA,BA6873,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,12,168,0,13,45
6/26/2025,20:17,Evening,BA,BA1740,LHR,MAD,Spain,Europe,SHORT,A320,0,13,167,2,4,18
6/27/2025,12:47,Lunchtime,BA,BA6234,LHR,FRA,Germany,Europe,SHORT,A320,0,11,169,0,10,37
9/13/2025,15:31,Afternoon,BA,BA7722,LHR,LAX,USA,North America,LONG,B787,0,35,179,1,2,15
6/5/2025,8:11,Morning,BA,BA5699,LHR,VIE,Austria,Europe,SHORT,A320,0,12,168,0,0,9
8/30/2025,19:25,Evening,BA,BA8595,LHR,HND,Japan,Asia,LONG,A350,0,56,275,0,4,21
9/6/2025,7:46,Morning,BA,BA4973,LHR,BCN,Spain,Europe,SHORT,A320,0,8,172,0,12,44
4/21/2025,9:58,Morning,BA,BA7066,LHR,HND,Japan,Asia,LONG,B777,0,48,224,0,13,45
8/9/2025,19:42,Evening,BA,BA3453,LHR,MUC,Germany,Europe,SHORT,A320,0,3,177,1,11,38
6/12/2025,21:49,Evening,BA,BA7654,LHR,HND,Japan,Asia,LONG,B787,8,48,200,0,12,42
7/3/2025,22:56,Evening,BA,BA4912,LHR,DXB,UAE,Middle East,LONG,A380,14,97,358,1,11,38
6/18/2025,19:25,Evening,BA,BA6166,LHR,DFW,USA,North America,LONG,B777,0,32,300,1,4,20
8/10/2025,17:12,Afternoon,BA,BA2959,LHR,CDG,France,Europe,SHORT,A320,0,15,165,1,10,37
6/25/2025,11:45,Morning,BA,BA9381,LHR,VIE,Austria,Europe,SHORT,A320,0,4,176,0,12,43
6/22/2025,7:32,Morning,BA,BA1237,LHR,HND,Japan,Asia,LONG,A380,14,97,358,4,12,42
10/21/2025,12:23,Lunchtime,BA,BA5129,LHR,AMS,Netherlands,Europe,SHORT,A320,0,14,166,1,14,49
8/4/2025,21:25,Evening,BA,BA9524,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,1,179,1,12,41
8/17/2025,17:01,Afternoon,BA,BA6550,LHR,LAX,USA,North America,LONG,B787,0,35,179,0,10,36
10/1/2025,22:21,Evening,BA,BA8235,LHR,JFK,USA,North America,LONG,B787,0,35,179,0,14,47
9/23/2025,20:58,Evening,BA,BA3563,LHR,ORD,USA,North America,LONG,B787,0,31,173,0,8,30
7/12/2025,19:33,Evening,BA,BA5682,LHR,JFK,USA,North America,LONG,B777,0,32,300,0,3,17
9/4/2025,11:53,Morning,BA,BA1300,LHR,LAX,USA,North America,LONG,A350,0,56,275,0,7,28
5/2/2025,20:00,Evening,BA,BA4670,LHR,FRA,Germany,Europe,SHORT,A320,0,9,171,0,4,19
7/30/2025,9:49,Morning,BA,BA3909,LHR,AMS,Netherlands,Europe,SHORT,A320,0,5,175,1,4,20
6/24/2025,20:49,Evening,BA,BA8541,LHR,AMS,Netherlands,Europe,SHORT,A320,0,4,176,0,7,28
8/30/2025,15:13,Afternoon,BA,BA4277,LHR,ORD,USA,North America,LONG,B777,0,32,300,0,3,18
7/19/2025,14:59,Afternoon,BA,BA3425,LHR,ORD,USA,North America,LONG,B777,8,49,178,2,6,25
6/30/2025,20:08,Evening,BA,BA4932,LHR,IST,Turkey,Europe,SHORT,A320,0,5,175,0,0,1
4/20/2025,17:02,Afternoon,BA,BA8319,LHR,DFW,USA,North America,LONG,B777,0,32,300,1,9,34
9/25/2025,17:20,Afternoon,BA,BA3467,LHR,IST,Turkey,Europe,SHORT,A320,0,3,177,0,8,30
8/23/2025,11:22,Morning,BA,BA7843,LHR,LAX,USA,North America,LONG,B787,8,48,200,0,3,18
4/21/2025,13:41,Lunchtime,BA,BA6141,LHR,AMS,Netherlands,Europe,SHORT,A320,0,20,160,0,11,41
10/5/2025,15:52,Afternoon,BA,BA6066,LHR,VIE,Austria,Europe,SHORT,A320,0,14,166,1,13,45
5/12/2025,9:27,Morning,BA,BA5753,LHR,BCN,Spain,Europe,SHORT,A320,0,13,167,0,0,5
4/6/2025,15:18,Afternoon,BA,BA2143,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,6,174,2,4,18
9/24/2025,21:26,Evening,BA,BA3513,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,7,173,0,4,18
6/30/2025,19:05,Evening,BA,BA5645,LHR,HND,Japan,Asia,LONG,B787,0,31,173,0,3,16
10/27/2025,15:55,Afternoon,BA,BA9877,LHR,ORD,USA,North America,LONG,B777,0,32,304,1,12,43
9/30/2025,8:39,Morning,BA,BA1980,LHR,ORD,USA,North America,LONG,B777,0,48,224,0,7,27
6/14/2025,22:11,Evening,BA,BA7024,LHR,DXB,UAE,Middle East,LONG,A350,0,56,275,1,6,26
7/27/2025,12:14,Lunchtime,BA,BA7062,LHR,CDG,France,Europe,SHORT,A320,0,10,170,0,0,0
6/18/2025,17:00,Afternoon,BA,BA2911,LHR,ORD,USA,North America,LONG,A380,14,97,358,0,11,40
5/10/2025,20:18,Evening,BA,BA3837,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,4,176,1,1,11
9/1/2025,22:17,Evening,BA,BA9491,LHR,LAX,USA,North America,LONG,B777,0,32,300,3,8,31
5/2/2025,20:53,Evening,BA,BA8633,LHR,CDG,France,Europe,SHORT,A320,0,17,163,0,9,35
4/17/2025,21:58,Evening,BA,BA5538,LHR,DXB,UAE,Middle East,LONG,B777,0,32,300,1,15,52
8/2/2025,21:18,Evening,BA,BA8804,LHR,LAX,USA,North America,LONG,B777,0,32,300,0,1,10
5/6/2025,6:27,Morning,BA,BA1657,LHR,JFK,USA,North America,LONG,B777,0,32,300,1,0,0
10/16/2025,9:17,Morning,BA,BA6639,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,8,172,1,9,33
6/16/2025,19:57,Evening,BA,BA2264,LHR,ORD,USA,North America,LONG,B787,0,35,179,0,18,58
9/30/2025,15:33,Afternoon,BA,BA7795,LHR,IST,Turkey,Europe,SHORT,A320,0,10,170,0,15,50
6/6/2025,10:43,Morning,BA,BA5185,LHR,CDG,France,Europe,SHORT,A320,0,14,166,0,9,34
6/4/2025,9:22,Morning,BA,BA8421,LHR,LAX,USA,North America,LONG,B777,0,48,224,0,5,23
9/3/2025,11:44,Morning,BA,BA8794,LHR,BCN,Spain,Europe,SHORT,A320,0,14,166,0,12,43
5/29/2025,8:00,Morning,BA,BA1603,LHR,MAD,Spain,Europe,SHORT,A320,0,4,176,1,2,15
6/12/2025,21:15,Evening,BA,BA3839,LHR,AMS,Netherlands,Europe,SHORT,A320,0,11,169,5,10,38
5/18/2025,11:46,Morning,BA,BA6341,LHR,HND,Japan,Asia,LONG,B777,0,32,300,0,11,38
5/29/2025,12:52,Lunchtime,BA,BA7501,LHR,MUC,Germany,Europe,SHORT,A320,0,20,160,0,14,47
5/29/2025,15:31,Afternoon,BA,BA9335,LHR,BCN,Spain,Europe,SHORT,A320,0,14,166,0,23,73
4/23/2025,10:32,Morning,BA,BA1869,LHR,JFK,USA,North America,LONG,B777,8,49,178,2,10,36
7/23/2025,17:23,Afternoon,BA,BA3469,LHR,MAD,Spain,Europe,SHORT,A320,0,19,161,0,5,22
6/4/2025,21:50,Evening,BA,BA5975,LHR,ORD,USA,North America,LONG,B777,0,32,304,0,8,30
9/8/2025,6:36,Morning,BA,BA8483,LHR,CDG,France,Europe,SHORT,A320,0,12,168,0,0,3
7/8/2025,10:20,Morning,BA,BA3341,LHR,IST,Turkey,Europe,SHORT,A320,0,6,174,0,4,19
6/23/2025,22:34,Evening,BA,BA5917,LHR,VIE,Austria,Europe,SHORT,A320,0,6,174,0,6,24
6/5/2025,12:05,Lunchtime,BA,BA9669,LHR,FRA,Germany,Europe,SHORT,A320,0,9,171,0,5,22
9/2/2025,10:19,Morning,BA,BA2328,LHR,BCN,Spain,Europe,SHORT,A320,0,13,167,0,9,33
9/7/2025,6:58,Morning,BA,BA1697,LHR,LAX,USA,North America,LONG,B777,8,49,178,0,3,17
10/9/2025,22:02,Evening,BA,BA1172,LHR,MAD,Spain,Europe,SHORT,A320,0,16,164,0,14,48
9/13/2025,13:49,Lunchtime,BA,BA6598,LHR,DFW,USA,North America,LONG,A380,14,97,358,0,8,30
10/19/2025,10:28,Morning,BA,BA2386,LHR,VIE,Austria,Europe,SHORT,A320,0,17,163,0,8,30
8/11/2025,21:41,Evening,BA,BA5164,LHR,MUC,Germany,Europe,SHORT,A320,0,20,160,2,6,25
6/27/2025,13:47,Lunchtime,BA,BA3143,LHR,MAD,Spain,Europe,SHORT,A320,0,11,169,2,9,33
7/26/2025,8:27,Morning,BA,BA1659,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,16,164,0,12,43
9/25/2025,11:09,Morning,BA,BA6728,LHR,VIE,Austria,Europe,SHORT,A320,0,15,165,0,3,17
7/21/2025,8:23,Morning,BA,BA6873,LHR,IST,Turkey,Europe,SHORT,A320,0,12,168,0,4,20
5/18/2025,13:35,Lunchtime,BA,BA4486,LHR,HND,Japan,Asia,LONG,B777,0,32,300,0,6,26
5/12/2025,8:21,Morning,BA,BA5257,LHR,DXB,UAE,Middle East,LONG,B777,0,48,224,0,0,9
5/30/2025,10:20,Morning,BA,BA3469,LHR,MUC,Germany,Europe,SHORT,A320,0,19,161,0,3,18
6/16/2025,9:39,Morning,BA,BA9146,LHR,HND,Japan,Asia,LONG,B777,8,49,178,2,5,23
4/21/2025,20:49,Evening,BA,BA2609,LHR,AMS,Netherlands,Europe,SHORT,A320,0,12,168,1,13,44
4/2/2025,22:43,Evening,BA,BA3442,LHR,MUC,Germany,Europe,SHORT,A320,0,2,178,0,9,34
5/5/2025,11:41,Morning,BA,BA6263,LHR,HND,Japan,Asia,LONG,B777,0,32,300,0,9,33
4/14/2025,14:25,Afternoon,BA,BA3607,LHR,MAD,Spain,Europe,SHORT,A320,0,2,178,2,12,44
7/22/2025,9:22,Morning,BA,BA6678,LHR,CDG,France,Europe,SHORT,A320,0,16,164,2,7,28
4/14/2025,14:56,Afternoon,BA,BA9236,LHR,BCN,Spain,Europe,SHORT,A320,0,13,167,3,10,36
9/25/2025,22:40,Evening,BA,BA5874,LHR,BCN,Spain,Europe,SHORT,A320,0,19,161,0,7,29
8/28/2025,19:31,Evening,BA,BA6590,LHR,MUC,Germany,Europe,SHORT,A320,0,11,169,0,9,34
5/30/2025,17:24,Afternoon,BA,BA2717,LHR,BCN,Spain,Europe,SHORT,A320,0,13,167,1,5,21
8/10/2025,18:24,Evening,BA,BA3368,LHR,DXB,UAE,Middle East,LONG,A350,0,56,275,0,0,0
4/5/2025,17:32,Afternoon,BA,BA6871,LHR,ORD,USA,North America,LONG,B787,8,42,166,0,7,28
6/26/2025,22:09,Evening,BA,BA8520,LHR,VIE,Austria,Europe,SHORT,A320,0,15,165,0,16,52
9/19/2025,6:44,Morning,BA,BA1325,LHR,DFW,USA,North America,LONG,B787,8,42,166,2,13,45
5/29/2025,18:48,Evening,BA,BA9006,LHR,CDG,France,Europe,SHORT,A320,0,16,164,2,13,45
10/29/2025,11:01,Morning,BA,BA1653,LHR,MUC,Germany,Europe,SHORT,A320,0,6,174,0,15,50
8/3/2025,11:33,Morning,BA,BA8581,LHR,MAD,Spain,Europe,SHORT,A320,0,1,179,2,8,32
10/23/2025,6:49,Morning,BA,BA1486,LHR,AMS,Netherlands,Europe,SHORT,A320,0,15,165,0,9,33
8/8/2025,12:58,Lunchtime,BA,BA2871,LHR,HND,Japan,Asia,LONG,B777,8,49,178,1,4,21
5/15/2025,19:02,Evening,BA,BA1621,LHR,AMS,Netherlands,Europe,SHORT,A320,0,1,179,0,6,25
7/19/2025,20:42,Evening,BA,BA4409,LHR,JFK,USA,North America,LONG,B787,8,42,166,0,11,40
8/5/2025,18:16,Evening,BA,BA1835,LHR,BCN,Spain,Europe,SHORT,A320,0,5,175,0,14,49
10/9/2025,14:35,Afternoon,BA,BA3705,LHR,IST,Turkey,Europe,SHORT,A320,0,17,163,0,7,28
8/22/2025,18:36,Evening,BA,BA8342,LHR,ORD,USA,North America,LONG,B777,0,32,300,0,5,23
7/9/2025,21:12,Evening,BA,BA6434,LHR,FRA,Germany,Europe,SHORT,A320,0,5,175,0,8,30
5/16/2025,15:19,Afternoon,BA,BA9060,LHR,MUC,Germany,Europe,SHORT,A320,0,12,168,4,11,40
5/4/2025,15:55,Afternoon,BA,BA3791,LHR,BCN,Spain,Europe,SHORT,A320,0,9,171,0,0,8
4/1/2025,6:55,Morning,BA,BA8089,LHR,BCN,Spain,Europe,SHORT,A320,0,2,178,0,0,0
4/22/2025,21:03,Evening,BA,BA5020,LHR,AMS,Netherlands,Europe,SHORT,A320,0,20,160,0,5,22
6/11/2025,22:00,Evening,BA,BA9770,LHR,LAX,USA,North America,LONG,A350,0,56,275,0,1,11
7/20/2025,15:49,Afternoon,BA,BA9159,LHR,JFK,USA,North America,LONG,B787,0,31,173,0,5,22
8/17/2025,16:15,Afternoon,BA,BA6118,LHR,DXB,UAE,Middle East,LONG,A380,14,97,358,1,7,28
10/22/2025,22:30,Evening,BA,BA2858,LHR,LAX,USA,North America,LONG,B787,8,48,200,0,5,23
4/12/2025,6:33,Morning,BA,BA3724,LHR,AMS,Netherlands,Europe,SHORT,A320,0,6,174,0,16,53
7/26/2025,19:53,Evening,BA,BA4071,LHR,VIE,Austria,Europe,SHORT,A320,0,16,164,1,10,35
4/2/2025,12:17,Lunchtime,BA,BA3276,LHR,DXB,UAE,Middle East,LONG,B777,8,49,178,0,9,35
8/19/2025,9:57,Morning,BA,BA6344,LHR,CDG,France,Europe,SHORT,A320,0,20,160,0,11,40
9/29/2025,21:09,Evening,BA,BA8062,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,4,176,2,2,13
10/22/2025,17:07,Afternoon,BA,BA2254,LHR,LAX,USA,North America,LONG,B787,8,42,166,0,13,47
